epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.263,1.43977,1.60598,1.26446,0.66746,0.5075,0.54249,0.28672,1.38674,1.19465,1.24868,0.00332983,0.00332983,0.00332983
2,274.151,1.41432,1.33229,1.25115,0.6808,0.52281,0.55733,0.28108,1.47592,1.23724,1.30382,0.00653123,0.00653123,0.00653123
3,402.415,1.46366,1.348,1.28694,0.53625,0.43443,0.44875,0.21718,1.70394,1.56322,1.53315,0.00960063,0.00960063,0.00960063
4,530.586,1.48774,1.35434,1.31188,0.66222,0.4924,0.53123,0.27304,1.59818,1.28002,1.40696,0.009406,0.009406,0.009406
5,656.026,1.43931,1.2972,1.29139,0.6923,0.49221,0.54898,0.27978,1.5707,1.31131,1.42027,0.009208,0.009208,0.009208
6,777.683,1.39991,1.24023,1.26616,0.71994,0.51876,0.58945,0.31407,1.48804,1.16522,1.35559,0.00901,0.00901,0.00901
7,900.32,1.37417,1.20643,1.25482,0.73232,0.4878,0.54691,0.30016,1.49123,1.15758,1.34372,0.008812,0.008812,0.008812
8,1022.59,1.34256,1.16822,1.23824,0.73028,0.52364,0.58419,0.31962,1.45821,1.09587,1.3162,0.008614,0.008614,0.008614
9,1144.3,1.32876,1.14661,1.22976,0.73045,0.52871,0.59604,0.32878,1.45676,1.09301,1.33011,0.008416,0.008416,0.008416
10,1266.75,1.30898,1.12571,1.22075,0.73082,0.54306,0.61882,0.34104,1.41087,1.05663,1.2893,0.008218,0.008218,0.008218
11,1393.02,1.29014,1.09221,1.20733,0.74549,0.5479,0.62072,0.3417,1.41988,1.03422,1.29196,0.00802,0.00802,0.00802
12,1515.96,1.27569,1.08413,1.19995,0.76032,0.55366,0.62531,0.3583,1.3775,1.01864,1.26611,0.007822,0.007822,0.007822
13,1639.09,1.25994,1.0652,1.19318,0.7473,0.57871,0.64318,0.36452,1.36164,0.98652,1.25299,0.007624,0.007624,0.007624
14,1762.42,1.24906,1.0533,1.18744,0.76401,0.55901,0.6325,0.36017,1.35038,0.99676,1.25572,0.007426,0.007426,0.007426
15,1885.54,1.2425,1.03768,1.18257,0.75807,0.57205,0.64472,0.3685,1.33403,0.97835,1.24313,0.007228,0.007228,0.007228
16,2008.95,1.22975,1.02603,1.17588,0.76684,0.57325,0.64048,0.37222,1.331,0.94499,1.24068,0.00703,0.00703,0.00703
